S.No,Student,01a,01b,02a,02b,03a,03b,04a,04b,05a,05b,06a,06b,07a,07b,08a,08b,09a,09b,10a,10b,total
1,image0001.jpg,3.0,6.0,,,,5.0,,,,,,4.0,5.0,4.0,,,3.0,7.0,,,37.0
2,image0002.jpg,4.0,4.0,,,3.0,3.0,,,5.0,5.0,,,,,4.0,5.0,,,5.0,5.0,43.0
3,image0003.jpg,1.0,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,1.0,10.0
4,image0004.jpg,5.0,5.0,,,1.0,5.0,,,6.0,4.0,,,1.0,1.0,,,,,4.0,5.0,37.0
5,image0005.jpg,6.0,7.0,,,1.0,,5.0,7.0,,,5.0,5.0,,,6.0,0.0,,,1.0,1.0,44.0
6,image0006.jpg,5.0,6.0,,,3.0,3.0,,,5.0,5.0,,,4.0,6.0,,,4.0,6.0,,,47.0
7,image0007.jpg,,,,1.0,,,,1.0,5.0,,,1.0,5.0,1.0,,1.0,4.0,6.0,,1.0,26.0
8,image0008.jpg,,,4.0,0.0,,,,3.0,1.0,6.0,,,5.0,4.0,,,5.0,5.0,,,33.0
9,image0009.jpg,,,6.0,2.0,2.0,4.0,,,2.0,6.0,,,4.0,1.0,,,5.0,5.0,,,37.0
10,image0010.jpg,6.0,2.0,,,,,4.0,5.0,4.0,4.0,,,3.0,4.0,,,5.0,4.0,,,41.0
11,image0011.jpg,7.0,7.0,,,,,6.0,7.0,6.0,7.0,,,6.0,6.0,,,2.0,6.0,,,60.0
12,image0012.jpg,4.0,3.0,,1.0,3.0,3.0,,1.0,3.0,3.0,,1.0,5.0,4.0,,1.0,4.0,5.0,,1.0,42.0
13,image0013.jpg,9.0,4.0,,,5.0,4.0,,,8.0,4.0,2.0,3.0,0.0,1.0,,,4.0,5.0,4.0,3.0,56.0
14,image0014.jpg,6.0,6.0,,,,,5.0,5.0,,,7.0,4.0,6.0,6.0,,,,,4.0,5.0,54.0
15,image0015.jpg,6.0,7.0,,,,,5.0,5.0,4.0,6.0,,,,,5.0,5.0,,,1.0,5.0,49.0
16,image0016.jpg,5.0,7.0,,,,,2.0,7.0,6.0,6.0,,,5.0,5.0,,,,,1.0,5.0,49.0
17,image0017.jpg,6.0,6.0,,,,,6.0,6.0,7.0,7.0,,,6.0,7.0,,,2.0,2.0,,,55.0
18,image0018.jpg,4.0,4.0,,,,,1.0,5.0,5.0,5.0,,,,,6.0,1.0,,,5.0,1.0,37.0
19,image0019.jpg,1.0,1.0,,,0.0,8.0,1.0,1.0,,,5.0,3.0,,,4.0,4.0,6.0,6.0,,,40.0
20,image0020.jpg,5.0,6.0,,,,,5.0,6.0,1.0,5.0,,,5.0,4.0,,,,,5.0,5.0,47.0
21,image0021.jpg,6.0,6.0,,1.0,5.0,5.0,,1.0,7.0,6.0,,1.0,5.0,5.0,,1.0,4.0,5.0,,1.0,59.0
22,image0022.jpg,4.0,4.0,,1.0,4.0,3.0,4.0,0.0,4.0,5.0,1.0,1.0,4.0,4.0,,,5.0,5.0,1.0,1.0,51.0
23,image0023.jpg,5.0,6.0,,,,,5.0,5.0,7.0,6.0,,,,,6.0,6.0,,,1.0,1.0,48.0
24,image0024.jpg,6.0,5.0,,,5.0,5.0,,,5.0,6.0,,,5.0,5.0,,,7.0,2.0,,,51.0
25,image0025.jpg,6.0,2.0,,,5.0,5.0,,,6.0,6.0,,,5.0,6.0,,,5.0,4.0,,,50.0
26,image0026.jpg,5.0,4.0,,,1.0,2.0,,,,,6.0,5.0,,,7.0,7.0,,,6.0,7.0,50.0
27,image0027.jpg,6.0,2.0,,,,,4.0,6.0,6.0,6.0,,,6.0,6.0,,,5.0,5.0,,,52.0
